season,n_migrations,n_individuals,mean_departure_doy,sd_departure_doy,mean_arrival_doy,sd_arrival_doy,mean_duration_days,sd_duration_days,mean_stopover_hours,sd_stopover_hours,mean_travel_speed_kmph,sd_travel_speed_kmph
fall,3,3,251.33333333333334,47.353282181210346,316.6666666666667,18.50225211517055,65.33333333333333,30.0055550412475,690.0,844.6798209972818,0.9823159515923267,0.8436752801082514
spring,4,4,76.0,28.647280266487194,121.75,2.362907813126305,45.75,28.883386228072357,249.5,177.22584461641028,3.9869097198987937,3.66622372702246
