id,season,season_year,departure_time,arrival_time,duration_days,stopover_hours,travel_hours,n_stopovers,n_major_stopovers,n_sites_used,travel_speed_kmph,n_points,route_distance_km,net_displacement_km,straightness,max_gap_hours,n_big_gaps,median_step_speed_kmph,mean_step_speed_kmph,departure_doy,arrival_doy
Crane36_KN6082,fall,2019,2019-08-29 00:00:00+00:00,2019-11-03 00:00:00+00:00,66.0,0.0,1584.0,0,0,0,0.6510672884666707,52,1031.2905849312065,3437.303740195101,3.333011849831239,287.0,1,1.8442887213460262,3.580210490612035,241,307
Crane36_KN6082,spring,2019,2019-03-20 00:00:00+00:00,2019-04-30 00:00:00+00:00,41.0,426.0,558.0,2,2,2,7.983032356121164,165,4454.53205471561,3959.0313008119206,0.888764802269377,6.0,0,1.197309451808175,4.526963470239441,79,120
Crane54_KN6101,fall,2018,2018-07-29 00:00:00+00:00,2018-11-01 00:00:00+00:00,95.0,1632.0,648.0,8,8,4,1.9413466863615039,324,1257.9926527622545,4182.697319504555,3.3248980511295834,346.0,1,0.11067814204534371,0.6822513616546857,210,305
Crane54_KN6101,spring,2019,2019-03-31 00:00:00+00:00,2019-05-05 00:00:00+00:00,35.0,378.0,462.0,2,2,2,1.7161983823264093,78,792.8836526348011,760.9275902551317,0.9596964040392592,189.0,1,0.12197440703891853,1.7192497522233094,90,125
Crane57_KN6105,spring,2019,2019-04-10 00:00:00+00:00,2019-04-30 00:00:00+00:00,20.0,92.0,388.0,1,1,1,6.099934323191153,80,2366.7745173981675,2233.325092655885,0.9436154886064154,6.0,0,4.43885763818334,4.993195184384322,100,120
Crane59_KN6126,fall,2019,2019-10-30 00:00:00+00:00,2019-12-04 00:00:00+00:00,35.0,438.0,402.0,1,1,1,0.3545338799488055,105,142.5226197394198,264.3284364256745,1.854641999346893,207.0,1,0.021697894039811615,0.23813700831593113,303,338
Crane59_KN6126,spring,2019,2019-02-04 00:00:00+00:00,2019-05-02 00:00:00+00:00,87.0,102.0,1986.0,1,1,1,0.14847381795644846,34,294.8690024615066,279.10835020412054,0.9465503253111742,6.0,0,0.2008773773700493,1.489237386169225,35,122
