id,season,season_year,departure_time,arrival_time,duration_days,stopover_hours,travel_hours,n_stopovers,n_major_stopovers,n_sites_used,travel_speed_kmph,n_points,route_distance_km,net_displacement_km,straightness,max_gap_hours,n_big_gaps,median_step_speed_kmph,mean_step_speed_kmph,departure_doy,arrival_doy
Crane36_KN6082,fall,2018,2018-09-12 01:00:00+00:00,2018-09-22 19:00:00+00:00,10.75,0.0,258.0,0,0,0,14.072174010760945,44,3630.620894776324,3351.2791050170954,0.9230594992274901,6.0,0,15.219708083070133,14.072174010760945,255,265
Crane36_KN6082,fall,2019,2019-08-01 16:00:00+00:00,2019-09-10 12:00:00+00:00,39.833333333333336,90.0,866.0,1,1,1,0.9689767051950232,35,839.1338266988901,3981.656092088347,4.744959582611489,477.0,2,0.6661070505218875,4.455463683859393,213,253
Crane36_KN6082,spring,2019,2019-03-21 00:00:00+00:00,2019-04-27 18:00:00+00:00,37.75,426.0,480.0,2,2,2,8.139192551765035,152,3906.812424847217,3439.4067902863553,0.8803613832114962,6.0,0,0.6639208091136395,4.312154994312602,80,117
Crane54_KN6101,fall,2018,2018-08-22 14:00:00+00:00,2018-09-22 00:00:00+00:00,30.416666666666668,264.0,466.0,2,2,2,0.6436907665977486,66,299.95989723455085,3797.3372824641165,12.659483209166536,346.0,1,0.5982227413369853,0.9337702137412232,234,265
Crane54_KN6101,spring,2019,2019-03-23 00:00:00+00:00,2019-05-05 11:00:00+00:00,43.458333333333336,378.0,665.0,3,3,3,1.1923062445636108,80,792.8836526348011,3543.4448119492836,4.469060246322646,206.0,3,0.12529022443715945,1.8579523459854634,82,125
Crane57_KN6105,spring,2019,2019-04-10 16:00:00+00:00,2019-05-13 16:00:00+00:00,33.0,354.0,438.0,2,2,1,5.850725270872239,133,2562.617668642041,2329.107838035805,0.9088783967020818,6.0,0,0.410171205562932,3.235628369497526,100,133
Crane59_KN6126,fall,2018,2018-09-06 08:00:00+00:00,2018-09-30 08:00:00+00:00,24.0,0.0,576.0,0,0,0,,2,,3710.373010209157,,576.0,1,6.441619809390898,6.441619809390898,249,273
Crane59_KN6126,fall,2019,2019-08-24 15:00:00+00:00,2019-10-30 10:00:00+00:00,66.79166666666667,0.0,1603.0,2,2,2,,2,,3540.642049698049,,1603.0,1,2.2087598563306607,2.2087598563306607,236,303
Crane59_KN6126,spring,2019,2019-02-04 20:00:00+00:00,2019-05-02 05:00:00+00:00,86.375,102.0,1971.0,2,2,2,0.10420967389193064,32,205.3972672409953,3373.255253338156,16.423077573764754,1893.0,1,0.19511271900988814,1.1597935276667068,35,122
